"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/qsomarri/Documents/github/minirt/includes/error.h", "C++", 0, -38, -14, -15, -67
"/home/qsomarri/Documents/github/minirt/includes/minirt.h", "C", -18, 0, -13, -7, -38
"/home/qsomarri/Documents/github/minirt/includes/parser.h", "C++", 0, -17, -17, -19, -53
"/home/qsomarri/Documents/github/minirt/includes/structs.h", "C++", 0, -80, -12, -17, -109
"/home/qsomarri/Documents/github/minirt/srcs/error_mgmt/free_objects.c", "C", 90, 0, 11, 7, 108
"/home/qsomarri/Documents/github/minirt/srcs/error_mgmt/free_scene.c", "C", 69, 0, 11, 7, 87
"/home/qsomarri/Documents/github/minirt/srcs/error_mgmt/outputs.c", "C", 87, 0, 12, 8, 107
"/home/qsomarri/Documents/github/minirt/srcs/main/minirt.c", "C", 46, 0, 11, 7, 64
"/home/qsomarri/Documents/github/minirt/srcs/parser/elements_parser.c", "C", 53, 0, 11, 8, 72
"/home/qsomarri/Documents/github/minirt/srcs/parser/file_parser.c", "C", 75, 0, 11, 8, 94
"/home/qsomarri/Documents/github/minirt/srcs/parser/ft_atof.c", "C", 49, 0, 11, 8, 68
"/home/qsomarri/Documents/github/minirt/srcs/parser/objects_parser.c", "C", 91, 0, 11, 11, 113
"/home/qsomarri/Documents/github/minirt/srcs/parser/scene_parser.c", "C", 55, 0, 11, 8, 74
"/home/qsomarri/Documents/github/minirt/srcs/parser/utils_parser.c", "C", 39, 0, 11, 8, 58
"Total", "-", 636, -135, 55, 22, 578
