"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/qsomarri/Documents/github/minirt/includes/error.h", "C++", 38, 0, 14, 15, 67
"/home/qsomarri/Documents/github/minirt/includes/minirt.h", "C", 0, 18, 13, 7, 38
"/home/qsomarri/Documents/github/minirt/includes/parser.h", "C++", 17, 0, 17, 19, 53
"/home/qsomarri/Documents/github/minirt/includes/structs.h", "C++", 80, 0, 12, 17, 109
"/home/qsomarri/Documents/github/minirt/srcs/error_mgmt/free_objects.c", "C", 0, -90, -11, -7, -108
"/home/qsomarri/Documents/github/minirt/srcs/error_mgmt/free_scene.c", "C", 0, -69, -11, -7, -87
"/home/qsomarri/Documents/github/minirt/srcs/error_mgmt/outputs.c", "C", 0, -87, -12, -8, -107
"/home/qsomarri/Documents/github/minirt/srcs/main/minirt.c", "C", 0, -46, -11, -7, -64
"/home/qsomarri/Documents/github/minirt/srcs/parser/elements_parser.c", "C", 0, -53, -11, -8, -72
"/home/qsomarri/Documents/github/minirt/srcs/parser/file_parser.c", "C", 0, -75, -11, -8, -94
"/home/qsomarri/Documents/github/minirt/srcs/parser/ft_atof.c", "C", 0, -49, -11, -8, -68
"/home/qsomarri/Documents/github/minirt/srcs/parser/objects_parser.c", "C", 0, -91, -11, -11, -113
"/home/qsomarri/Documents/github/minirt/srcs/parser/scene_parser.c", "C", 0, -55, -11, -8, -74
"/home/qsomarri/Documents/github/minirt/srcs/parser/utils_parser.c", "C", 0, -39, -11, -8, -58
"Total", "-", 135, -636, -55, -22, -578
